kingdom;phylum;order;classe;family;genus;specific_epithet;infraspecific_epithet;scientific_name_authorship;kingdom_trusted;phylum_trusted;order_trusted;classe_trusted;family_trusted;genus_trusted;specific_epithet_trusted;infraspecific_epithet_trusted;scientific_name_authorship_trusted
;;;;;Ottonia;anisum;;Spreng.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;anisum;f. glabrior;Miq.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;armondii;; Trel.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;burchellii;;Trel.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;carpinifolia;f. hirtipedicellata;Yunck.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;carpinifolia;;C. Presl;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Piper;carpinifolium;;(Presl.) C. DC.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;consanguinea;;C. Presl;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Piper;punctatissimum;;C. DC.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;glazioui;;Trel.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;hookeriana;;Miq.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Piper ;gardnerii ;;C. DC.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;mexiae;;Trel.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;mexiae;f. fertilior;Trel.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;pteropoda;;Moric.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Piper;pteropodon;;(Moric.) C. DC.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;santaritana;;Trel;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;taperana;;Trel.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Piper;praecox;;C. DC.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;praecox;;(C. DC.) Trel.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Serronia;jaborandi;;Guill.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;jaborandi;;(Guill.) Kunth;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Piper ;jaborandi;; Vell. ;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Ottonia;diversifolia;;Kunth;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Piper ;selloi ;;C. DC.;;;;;;Piper;anisum;;(Spreng.) Angely
;;;;;Artanthe;bartlingiana;;Miq.;;;;;;Piper;bartlingianum;;(Miq.) C. DC.
;;;;;Artanthe;warakabacoura;;Miq.,;;;;;;Piper;bartlingianum;;(Miq.) C. DC.
;;;;;Ottonia;warakabacoura;;(Miq.) Miq.;;;;;;Piper;bartlingianum;;(Miq.) C. DC.
;;;;;Piper;warakabacoura;;(Miq.) C. DC.;;;;;;Piper;bartlingianum;;(Miq.) C. DC.
;;;;;Ottonia;peltata;;E.F. Guimarães & Ichaso;;;;;;Piper;carautensei;;E.F.Guim. & M. Carv.-Silva
;;;;;Ottonia;villosa;;Yunck.;;;;;;Piper;duartei;;E.F.Guim. & M. Carv.-Silva
