"fullname";"search";"value_founded";"selected"
"Aline Vieira de Melo Silva";"Silva";"S. M. Silva";False
"Aline Vieira de Melo Silva";"Silva";"Carvalho Silva, M";False
"Aline Vieira de Melo Silva";"Silva";"Silva, G.P.";False
"Aline Vieira de Melo Silva";"Silva";"S. Aparecida Silva";False
"Aline Vieira de Melo Silva";"Silva";"Silva, FSG";False
"Aline Vieira de Melo Silva";"Silva";"Silva, MF da";False
"Aline Vieira de Melo Silva";"Silva";"M. G. da Silva";False
"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M.; Amorim, P.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, MC";False
"Aline Vieira de Melo Silva";"Silva";"Silva, NT";False
"Aline Vieira de Melo Silva";"Silva";"T. Macambo-Silva";False
"Aline Vieira de Melo Silva";"Silva";"Machado Silva, T.";False
"Aline Vieira de Melo Silva";"Silva";"Machado-Silva, T";False
"Aline Vieira de Melo Silva";"Silva";"F. Silva Filho";False
"Aline Vieira de Melo Silva";"Silva";"F. Bonadeu da Silva";False
"Aline Vieira de Melo Silva";"Silva";"Silva, MCR";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/X-2007";False
"Aline Vieira de Melo Silva";"Silva";"Silva, ACB";False
"Aline Vieira de Melo Silva";"Silva";"MICHELINE CARVALHO-SILVA";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva";False
"Aline Vieira de Melo Silva";"Silva";"G. Pereira-Silva";False
"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M.";False
"Aline Vieira de Melo Silva";"Silva";"Macedo-Silva, T.";False
"Aline Vieira de Melo Silva";"Silva";"M.Carvalho-Silva";False
"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M; Pereira, LA";False
"Aline Vieira de Melo Silva";"Silva";"Silva, C.A.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, R.K.; Seidinger. L.C.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, ACC";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/Fev.-2008";False
"Aline Vieira de Melo Silva";"Silva";"Silva, CAS";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/10-08-2006";False
"Aline Vieira de Melo Silva";"Silva";"Silva, CAS da";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva, C.C. Silva, et. all";False
"Aline Vieira de Melo Silva";"Silva";"Silva, S.M.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, BG";False
"Aline Vieira de Melo Silva";"Silva";"Silva, M.G.";False
"Aline Vieira de Melo Silva";"Silva";"Mattos Silva, LA";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/X-2006";False
"Aline Vieira de Melo Silva";"Silva";"Silva, MC da";False
"Aline Vieira de Melo Silva";"Silva";"Micheline Carvalho Silva";False
"Aline Vieira de Melo Silva";"Silva";"Da Silva, D.R.";False
"Aline Vieira de Melo Silva";"Silva";"M. C. Silva & C. Sinigaglia";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho Silva/10-08-2006";False
"Aline Vieira de Melo Silva";"Silva";"Silva; Carvalho, M";False
"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva M";False
"Aline Vieira de Melo Silva";"Silva";"Soares-Silva, J. P.";False
"Aline Vieira de Melo Silva";"Silva";"A. G. da Silva";False
"Aline Vieira de Melo Silva";"Silva";"Silva, T.M.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, MFF da";False
"Aline Vieira de Melo Silva";"Silva";"M.F.O. Silva et Galvão, M.N.";False
"Aline Vieira de Melo Silva";"Silva";"N. T. da Silva";False
"Aline Vieira de Melo Silva";"Silva";"M.C. Silva";False
"Aline Vieira de Melo Silva";"Silva";"Silva, MR";False
"Aline Vieira de Melo Silva";"Silva";"G. Pereira-Silva & M. Carvalho-Silva";False
"Aline Vieira de Melo Silva";"Silva";"Fleury-Silva, H.R.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, CSA da";False
"Aline Vieira de Melo Silva";"Silva";"A. S. L. da Silva";False
"Aline Vieira de Melo Silva";"Silva";"G. P. Silva";False
"Aline Vieira de Melo Silva";"Silva";"Soares-Silva, J.P.; Sampaio, D.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, DCG";False
"Aline Vieira de Melo Silva";"Silva";"Silva Neto, S.J.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, SM";False
"Aline Vieira de Melo Silva";"Silva";"Silva, M.C.";False
"Aline Vieira de Melo Silva";"Silva";"M. Carvalho Silva/X-2008";False
"Aline Vieira de Melo Silva";"Silva";"M. A. da Silva";False
"Aline Vieira de Melo Silva";"Silva";"Caralho Silva, M.";False
"Aline Vieira de Melo Silva";"Silva";"Machado-Silva, T.";False
"Aline Vieira de Melo Silva";"Silva";"Silva, ACC; Melo, A";False
"Aline Vieira de Melo Silva";"Silva";"Silva, NT da";False
"Aline Vieira de Melo Silva";"Silva";"M.A. da Silva";False
"Aline Vieira de Melo Silva";"Silva";"Guedes, ML; Silva, LM; Akita, AST";False
"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M";False
"Aline Vieira de Melo Silva";"Silva";"Silva, MG da";False
"Aline Vieira de Melo Silva";"Silva";"Silva, TT";False
"Aline Vieira de Melo Silva";"Silva";"Bernardi, P.T.; Mendes, N.A.; Schinato, F.; Silva, A.L.";False
"Aline Vieira de Melo Silva";"Silva";"Machado-Silva";False
"Aline Vieira de Melo Silva";"Silva";"Silva, M da";False
"Aline Vieira de Melo Silva";"Silva";"Silva";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E. F. et Dmonteiro";True
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/Jan.2008";True
"Elsie Franklin Guimarães";"Guimar";"J.Wesenberg, E.F. Guimarães/02-XII-2009";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães EF; Ichaso CLF";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Ichaso, C.L.";True
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães; C. L. F. Ichaso";True
"Elsie Franklin Guimarães";"Guimar";"D. M. Ferreira; E. F. Guimarães";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Queiroz, G.A.";True
"Elsie Franklin Guimarães";"Guimar";"Ichaso, C.L.; Guimarães, E.";True
"Elsie Franklin Guimarães";"Guimar";"Ichaso, CLF; Guimarães, EF";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Ichaso, C.";True
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães; R. Callejas Posada";True
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/2005";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Ichaso, C.L.";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Wesenberg, J";True
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães & V.B. Sarnaglia-Jr.";True
"Elsie Franklin Guimarães";"Guimar";"L.A.Pereira & E.F. Guimarães/24-01-2008";True
"Elsie Franklin Guimarães";"Guimar";"E.Guimarães/1992";True
"Elsie Franklin Guimarães";"Guimar";"C. L. F. Ichaso; E. F. GuimarÃ£es";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães EF";True
"Daniele Monteiro Ferreira";"Monteiro";"H. d. C. Monteiro Filho";False
"Daniele Monteiro Ferreira";"Monteiro";"J. Monteiro";False
"Daniele Monteiro Ferreira";"Monteiro";"Monteiro";False
"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, J";False
"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, O";False
"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, OP";False
"Daniele Monteiro Ferreira";"Monteiro";"R.Monteiro";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, O.";False
"Elsie Franklin Guimarães";"Guimar";"Guimaraes";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; V. Catarelli";True
"Elsie Franklin Guimarães";"Guimar";"L.A.Pereira & E.F. Guimarães/25-01-2008";True
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/2008";True
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/Out.2008";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães E.F.; Ferreira, D.M.";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Ichaso, C.L.F.";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Sanaglia";True
"Elsie Franklin Guimarães";"Guimar";"Guimar~eas, E.F.";True
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/VII-2011";True
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/2019";True
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães, E. Medeiros";True
"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2009";True
"Elsie Franklin Guimarães";"Guimar";"E. F. GuimarÃ£es";True
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães";True
"Elsie Franklin Guimarães";"Guimar";"E. Guimarães";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.G.";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Ferreira, D.M.";True
"Elsie Franklin Guimarães";"Guimar";"E.F.Guimarães/2009";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Ferreira, DM";True
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães-I/2008";True
"Elsie Franklin Guimarães";"Guimar";"D. M. Cavalcanti Ferreira; E. F. Guimarães";True
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães";True
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Queiroz, G.A.";True
"Elsie Franklin Guimarães";"Guimar";"D. Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"O.A. Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, W.";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, EL";False
"Elsie Franklin Guimarães";"Guimar";"Tais B. Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.K.";False
"Elsie Franklin Guimarães";"Guimar";"T. S. Mendes & E.Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, L";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, O";False
"Elsie Franklin Guimarães";"Guimar";"O. A. Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/15-05-2013";False
"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2008";False
"Elsie Franklin Guimarães";"Guimar";"E.F.Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/IV-2006";False
"Elsie Franklin Guimarães";"Guimar";"C. L. F. Ichaso; E. F. Guimarães";False
"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2000";False
"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/junho.2008";False
"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães-Jan.2008";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.";False
"Elsie Franklin Guimarães";"Guimar";"Guimarães, O.; Ichaso, C.";False
"Erika Von Sohsten de Souza Medeiros";"Medeiros";"H. Medeiros";False
"Erika Von Sohsten de Souza Medeiros";"Medeiros";"Medeiros";False
"Erika Von Sohsten de Souza Medeiros";"Medeiros";"Medeiros, H";False
"George Azevedo de Queiroz";"Queiroz";"L.N.Sátiro & L.P.de Queiroz";False
"Eric J Tepe";"Tepe";"Tepe EJ";True
"George Azevedo de Queiroz";"Queiroz";"G. A. Queiroz";True
"George Azevedo de Queiroz";"Queiroz";"G.A. Queiroz";True
"George Azevedo de Queiroz";"Queiroz";"G.A. Queiroz/2018";True
"George Azevedo de Queiroz";"Queiroz";"Guimarães, E.F.; Queiroz, G.A.";True
"George Azevedo de Queiroz";"Queiroz";"Guimarães, E.; Queiroz, G.A.";True
"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/2008";True
"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2006";True
"Elsie Franklin Guimarães";"Guimar";"Elsie F.Guimarães";True
