seq;GEORGE
8903;NÃO
8902;NÃO
8893;NÃO
8888;NÃO
8887;NÃO
8882;NÃO
8881;NÃO
8880;NÃO
8869;NÃO
12979;Sim
12979;Sim
42084;Sim
42084;Sim
47141;Sim
47141;Sim
42882;Sim
42881;Sim
42873;Sim
42686;Sim
8760;NÃO
8756;NÃO
42511;Sim
8754;NÃO
8753;NÃO
42509;Sim
8614;SIM
42075;Sim
42053;Sim
42052;Sim
42882;Sim
42881;Sim
8606;NÃO
42873;Sim
42686;Sim
42511;Sim
8597;NÃO
8596;NÃO
8593;NÃO
42509;Sim
42075;Sim
8580;NÃO
8579;NÃO
8577;NÃO
42053;Sim
8566;NÃO
8565;NÃO
8552;NÃO
8549;NÃO
42052;Sim
8528;NÃO
8527;NÃO
21909;Sim
21426;Sim
21909;Sim
21426;Sim
8497;NÃO
47252;Sim
47233;Sim
8493;NÃO
8491;NÃO
8472;NÃO
8465;NÃO
47252;Sim
47233;Sim
8453;NÃO
12995;Sim
12994;Sim
8442;NÃO
8440;NÃO
12955;Sim
12954;Sim
8430;NÃO
8428;NÃO
12953;Sim
12941;Sim
12825;Sim
8423;NÃO
8415;NÃO
8413;NÃO
12813;Sim
12806;Sim
12805;Sim
12804;Sim
12803;Sim
12995;Sim
8397;NÃO
12994;Sim
12955;Sim
12954;Sim
8293;NÃO
12953;Sim
12941;Sim
12825;Sim
12813;Sim
12806;Sim
12805;Sim
12804;Sim
12803;Sim
12827;Sim
12826;Sim
12827;Sim
12826;Sim
13014;Sim
13014;Sim
8082;NÃO
8081;NÃO
8080;NÃO
8079;NÃO
8078;NÃO
8077;NÃO
8012;SIM
8011;SIM
7990;NÃO
7989;NÃO
8443;Não
8443;Não
7985;NÃO
7984;NÃO
7983;NÃO
10102;Não
7877;SIM
10101;Não
10100;Não
10099;Não
7873;SIM
10098;Não
10102;Não
10101;Não
10100;Não
10099;Não
10098;Não
7855;SIM
10460;Não
7838;SIM
7836;SIM
10459;Não
10460;Não
7706;NÃO
7705;NÃO
10459;Não
7683;NÃO
7666;NÃO
25503;Não
7552;SIM
25503;Não
7695;Não
7695;Não
42572;Não
42479;Não
42477;Não
42476;Não
42458;Não
42394;Não
254;NÃO
42314;Não
42288;Não
42260;Não
248;NÃO
42204;Não
42178;Não
42071;Não
41897;Não
243;NÃO
242;NÃO
241;NÃO
240;NÃO
42572;Não
42479;Não
42477;Não
42476;Não
42458;Não
42394;Não
42314;Não
232;NÃO
42288;Não
42260;Não
42204;Não
42178;Não
42071;Não
41897;Não
223;NÃO
221;NÃO
220;NÃO
258;Não
258;Não
216;NÃO
215;NÃO
214;NÃO
8755;Não
8755;Não
12945;Não
12945;Não
8818;Não
205;NÃO
8818;Não
203;NÃO
202;NÃO
8868;Não
8819;Não
8868;Não
8819;Não
9125;Não
9125;Não
193;NÃO
24791;Não
24791;Não
190;NÃO
30628;Não
27498;Não
26564;Não
30628;Não
27498;Não
26564;Não
183;NÃO
38404;Não
38184;Não
38181;Não
179;NÃO
178;NÃO
174;NÃO
173;NÃO
38176;Não
171;NÃO
38404;Não
38184;Não
163;NÃO
38181;Não
38176;Não
39864;Não
39864;Não
13126;Não
13126;Não
42878;Não
153;NÃO
151;NÃO
42877;Não
42871;Não
148;NÃO
147;NÃO
42870;Não
42878;Não
42877;Não
42871;Não
42870;Não
28746;Não
27417;Não
136;NÃO
28746;Não
27417;Não
37895;Não
131;NÃO
130;SIM
36827;Não
37895;Não
36827;Não
39491;Não
119;NÃO
118;NÃO
117;NÃO
116;NÃO
39491;Não
114;NÃO
113;NÃO
12838;Não
12834;Não
12833;Não
12832;Não
12828;Não
12823;Não
99;NÃO
12815;Não
97;NÃO
12814;Não
12800;Não
12838;Não
88;NÃO
87;NÃO
86;NÃO
85;NÃO
83;NÃO
12834;Não
12833;Não
12832;Não
12828;Não
12823;Não
12815;Não
74;NÃO
73;NÃO
72;NÃO
12814;Não
70;NÃO
69;NÃO
68;NÃO
66;NÃO
65;NÃO
12800;Não
13205;Não
13201;Não
61;NÃO
58;NÃO
57;NÃO
13200;Não
13199;Não
13197;Não
13144;Não
52;NÃO
13205;Não
13201;Não
48;NÃO
47;NÃO
45;NÃO
13200;Não
43;NÃO
13199;Não
13197;Não
13144;Não
24546;Não
24546;Não
22555;Sim
36;NÃO
22555;Sim
7510;Sim
7510;Sim
26128;Sim
26128;Sim
10341;Sim
10341;Sim
23960;Sim
23066;Sim
23960;Sim
23066;Sim
9962;Sim
23;NÃO
22;NÃO
9949;Sim
9921;Sim
9914;Sim
9913;Sim
15;NÃO
9912;Sim
9872;Sim
9863;Sim
9861;Sim
8903;NÃO
8902;NÃO
8893;NÃO
8888;NÃO
8887;NÃO
8882;NÃO
8881;NÃO
8880;NÃO
8869;NÃO
9857;Sim
9844;Sim
9843;Sim
9837;Sim
9824;Sim
9821;Sim
9817;Sim
9816;Sim
9815;Sim
9814;Sim
8760;NÃO
8756;NÃO
9809;Sim
8754;NÃO
8753;NÃO
9808;Sim
8614;SIM
9800;Sim
9785;Sim
9784;Sim
9783;Sim
9782;Sim
8606;NÃO
9781;Sim
9778;Sim
9777;Sim
8597;NÃO
8596;NÃO
8593;NÃO
9776;Sim
9775;Sim
8580;NÃO
8579;NÃO
8577;NÃO
9768;Sim
8566;NÃO
8565;NÃO
8552;NÃO
8549;NÃO
9767;Sim
8528;NÃO
8527;NÃO
9762;Sim
9746;Sim
9743;Sim
9734;Sim
8497;NÃO
9728;Sim
9709;Sim
8493;NÃO
8491;NÃO
8472;NÃO
8465;NÃO
9698;Sim
9696;Sim
8453;NÃO
9695;Sim
9693;Sim
8442;NÃO
8440;NÃO
9680;Sim
9679;Sim
8430;NÃO
8428;NÃO
9677;Sim
9675;Sim
9674;Sim
8423;NÃO
8415;NÃO
8413;NÃO
9672;Sim
