seq;genus;specific_epithet;infraspecific_epithet;scientific_name_authorship;genus_new;specific_epithet_new;infraspecific_epithet_new;scientific_name_authorship_new
19770;Ottonia;anisum;;Spreng.;Piper;anisum;;(Spreng.) Angely
40891;Ottonia;taperana;;Trel.;Piper;anisum;;(Spreng.) Angely
7333;Piper;corcovadense;;(Miq.) A.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46696;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46697;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
47084;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46684;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46695;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46699;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46693;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46694;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46698;Piper;corcovadense;;C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25173;Ottonia;ituana;;Trel.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25194;Ottonia;peruibensis;;Trel.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21142;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21239;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13270;Ottonia;propinqua;;Yunck.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
20805;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
7926;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
7610;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
7786;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
8239;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
24022;Ottonia;propinqua;;Kunth;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25176;Ottonia;propinqua;longiracemosa;Yunck.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22332;Piper;corcovadensis;corcovadensis;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22343;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21260;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13064;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9311;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9821;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10059;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
3721;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
3720;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10184;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9575;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9413;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9400;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9402;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9452;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9474;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9554;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
36777;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9596;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9604;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9728;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10826;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10914;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10995;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
11027;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
11059;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
11105;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
11115;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
12953;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
12954;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13057;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13104;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13055;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13675;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
14370;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
20381;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21864;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
