"";"name";"searched_name";"value_founded";"trusted"
0;"Aline Vieira de Melo Silva";"Silva";"S. M. Silva";False
1;"Aline Vieira de Melo Silva";"Silva";"Carvalho Silva, M";False
2;"Aline Vieira de Melo Silva";"Silva";"Silva, G.P.";False
3;"Aline Vieira de Melo Silva";"Silva";"S. Aparecida Silva";False
4;"Aline Vieira de Melo Silva";"Silva";"Silva, FSG";False
5;"Aline Vieira de Melo Silva";"Silva";"Silva, MF da";False
6;"Aline Vieira de Melo Silva";"Silva";"M. G. da Silva";False
7;"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M.; Amorim, P.";False
8;"Aline Vieira de Melo Silva";"Silva";"Silva, MC";False
9;"Aline Vieira de Melo Silva";"Silva";"Silva, NT";False
10;"Aline Vieira de Melo Silva";"Silva";"T. Macambo-Silva";False
11;"Aline Vieira de Melo Silva";"Silva";"Machado Silva, T.";False
12;"Aline Vieira de Melo Silva";"Silva";"Machado-Silva, T";False
13;"Aline Vieira de Melo Silva";"Silva";"F. Silva Filho";False
14;"Aline Vieira de Melo Silva";"Silva";"F. Bonadeu da Silva";False
15;"Aline Vieira de Melo Silva";"Silva";"Silva, MCR";False
16;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/X-2007";False
17;"Aline Vieira de Melo Silva";"Silva";"Silva, ACB";False
18;"Aline Vieira de Melo Silva";"Silva";"MICHELINE CARVALHO-SILVA";False
19;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva";False
20;"Aline Vieira de Melo Silva";"Silva";"G. Pereira-Silva";False
21;"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M.";False
22;"Aline Vieira de Melo Silva";"Silva";"Macedo-Silva, T.";False
23;"Aline Vieira de Melo Silva";"Silva";"M.Carvalho-Silva";False
24;"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M; Pereira, LA";False
25;"Aline Vieira de Melo Silva";"Silva";"Silva, C.A.";False
26;"Aline Vieira de Melo Silva";"Silva";"Silva, R.K.; Seidinger. L.C.";False
27;"Aline Vieira de Melo Silva";"Silva";"Silva, ACC";False
28;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/Fev.-2008";False
29;"Aline Vieira de Melo Silva";"Silva";"Silva, CAS";False
30;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/10-08-2006";False
31;"Aline Vieira de Melo Silva";"Silva";"Silva, CAS da";False
32;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva, C.C. Silva, et. all";False
33;"Aline Vieira de Melo Silva";"Silva";"Silva, S.M.";False
34;"Aline Vieira de Melo Silva";"Silva";"Silva, BG";False
35;"Aline Vieira de Melo Silva";"Silva";"Silva, M.G.";False
36;"Aline Vieira de Melo Silva";"Silva";"Mattos Silva, LA";False
37;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho-Silva/X-2006";False
38;"Aline Vieira de Melo Silva";"Silva";"Silva, MC da";False
39;"Aline Vieira de Melo Silva";"Silva";"Micheline Carvalho Silva";False
40;"Aline Vieira de Melo Silva";"Silva";"Da Silva, D.R.";False
41;"Aline Vieira de Melo Silva";"Silva";"M. C. Silva & C. Sinigaglia";False
42;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho Silva/10-08-2006";False
43;"Aline Vieira de Melo Silva";"Silva";"Silva; Carvalho, M";False
44;"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva M";False
45;"Aline Vieira de Melo Silva";"Silva";"Soares-Silva, J. P.";False
46;"Aline Vieira de Melo Silva";"Silva";"A. G. da Silva";False
47;"Aline Vieira de Melo Silva";"Silva";"Silva, T.M.";False
48;"Aline Vieira de Melo Silva";"Silva";"Silva, MFF da";False
49;"Aline Vieira de Melo Silva";"Silva";"M.F.O. Silva et Galvão, M.N.";False
50;"Aline Vieira de Melo Silva";"Silva";"N. T. da Silva";False
51;"Aline Vieira de Melo Silva";"Silva";"M.C. Silva";False
52;"Aline Vieira de Melo Silva";"Silva";"Silva, MR";False
53;"Aline Vieira de Melo Silva";"Silva";"G. Pereira-Silva & M. Carvalho-Silva";False
54;"Aline Vieira de Melo Silva";"Silva";"Fleury-Silva, H.R.";False
55;"Aline Vieira de Melo Silva";"Silva";"Silva, CSA da";False
56;"Aline Vieira de Melo Silva";"Silva";"A. S. L. da Silva";False
57;"Aline Vieira de Melo Silva";"Silva";"G. P. Silva";False
58;"Aline Vieira de Melo Silva";"Silva";"Soares-Silva, J.P.; Sampaio, D.";False
59;"Aline Vieira de Melo Silva";"Silva";"Silva, DCG";False
60;"Aline Vieira de Melo Silva";"Silva";"Silva Neto, S.J.";False
61;"Aline Vieira de Melo Silva";"Silva";"Silva, SM";False
62;"Aline Vieira de Melo Silva";"Silva";"Silva, M.C.";False
63;"Aline Vieira de Melo Silva";"Silva";"M. Carvalho Silva/X-2008";False
64;"Aline Vieira de Melo Silva";"Silva";"M. A. da Silva";False
65;"Aline Vieira de Melo Silva";"Silva";"Caralho Silva, M.";False
66;"Aline Vieira de Melo Silva";"Silva";"Machado-Silva, T.";False
67;"Aline Vieira de Melo Silva";"Silva";"Silva, ACC; Melo, A";False
68;"Aline Vieira de Melo Silva";"Silva";"Silva, NT da";False
69;"Aline Vieira de Melo Silva";"Silva";"M.A. da Silva";False
70;"Aline Vieira de Melo Silva";"Silva";"Guedes, ML; Silva, LM; Akita, AST";False
71;"Aline Vieira de Melo Silva";"Silva";"Carvalho-Silva, M";False
72;"Aline Vieira de Melo Silva";"Silva";"Silva, MG da";False
73;"Aline Vieira de Melo Silva";"Silva";"Silva, TT";False
74;"Aline Vieira de Melo Silva";"Silva";"Bernardi, P.T.; Mendes, N.A.; Schinato, F.; Silva, A.L.";False
75;"Aline Vieira de Melo Silva";"Silva";"Machado-Silva";False
76;"Aline Vieira de Melo Silva";"Silva";"Silva, M da";False
77;"Aline Vieira de Melo Silva";"Silva";"Silva";False
78;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E. F. et Dmonteiro";True
79;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/Jan.2008";True
80;"Elsie Franklin Guimarães";"Guimar";"J.Wesenberg, E.F. Guimarães/02-XII-2009";True
81;"Elsie Franklin Guimarães";"Guimar";"Guimarães EF; Ichaso CLF";True
82;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Ichaso, C.L.";True
83;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães; C. L. F. Ichaso";True
84;"Elsie Franklin Guimarães";"Guimar";"D. M. Ferreira; E. F. Guimarães";True
85;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Queiroz, G.A.";True
86;"Elsie Franklin Guimarães";"Guimar";"Ichaso, C.L.; Guimarães, E.";True
87;"Elsie Franklin Guimarães";"Guimar";"Ichaso, CLF; Guimarães, EF";True
88;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.";True
89;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Ichaso, C.";True
90;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães; R. Callejas Posada";True
91;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/2005";True
92;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.; Ichaso, C.L.";True
93;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Wesenberg, J";True
94;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães & V.B. Sarnaglia-Jr.";True
95;"Elsie Franklin Guimarães";"Guimar";"L.A.Pereira & E.F. Guimarães/24-01-2008";True
96;"Elsie Franklin Guimarães";"Guimar";"E.Guimarães/1992";True
97;"Elsie Franklin Guimarães";"Guimar";"C. L. F. Ichaso; E. F. GuimarÃ£es";True
98;"Elsie Franklin Guimarães";"Guimar";"Guimarães EF";True
99;"Daniele Monteiro Ferreira";"Monteiro";"H. d. C. Monteiro Filho";False
100;"Daniele Monteiro Ferreira";"Monteiro";"J. Monteiro";False
101;"Daniele Monteiro Ferreira";"Monteiro";"Monteiro";False
102;"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, J";False
103;"Daniele Monteiro Ferreira";"Monteiro";"Monteiro, O";False
